eta_label,eta,N,primary_estimator,holonomy_estimate,target_h,abs_error,rel_error,rate_between_N_doublings,round_trip_residual,central_secant_estimate,central_secant_abs_error,estimator_abs_diff,blind_table_comparison_estimator
pi/6,0.5235987755982988,4,wilson_overlap_product,-6.283185307179586,-3.141592653589794,3.1415926535897922,0.9999999999999994,0.0,0.0,-2.0000000000000004,1.1415926535897936,4.283185307179586,wilson_overlap_product
pi/6,0.5235987755982988,8,wilson_overlap_product,-3.7091808720064487,-3.141592653589794,0.5675882184166547,0.18066894120346585,2.4685795810645863,0.0,-2.8284271247461907,0.31316552884360327,0.880753747260258,wilson_overlap_product
pi/6,0.5235987755982988,16,wilson_overlap_product,-3.2675131348499042,-3.141592653589794,0.12592048126011024,0.04008173405811383,2.172331683437378,0.0,-3.0614674589207196,0.08012519466907442,0.20604567592918466,wilson_overlap_product
pi/6,0.5235987755982988,32,wilson_overlap_product,-3.172166129935116,-3.141592653589794,0.030573476345321815,0.0097318397757222,2.042160452110851,0.0,-3.121445152258055,0.020147501331738926,0.05072097767706074,wilson_overlap_product
pi/6,0.5235987755982988,64,wilson_overlap_product,-3.1491808177966436,-3.141592653589794,0.007588164206849601,0.0024153876850262104,2.0104577987083725,0.0,-3.1365484905459375,0.005044163043856464,0.012632327250706066,wilson_overlap_product
pi/8,0.39269908169872414,2,wilson_overlap_product,-6.283185307179586,-4.442882938158366,1.8403023690212201,0.41421356237309503,,0.0,-1.7319121124709866e-16,4.442882938158366,6.283185307179586,wilson_overlap_product
pi/8,0.39269908169872414,4,wilson_overlap_product,-6.283185307179586,-4.442882938158366,1.8403023690212201,0.41421356237309503,0.0,0.0,-2.8284271247461894,1.6144558134121767,3.454758182433397,wilson_overlap_product
pi/8,0.39269908169872414,8,wilson_overlap_product,-4.923837669363098,-4.442882938158366,0.480954731204732,0.10825284795914386,1.9359698112753445,0.0,-4.0,0.4428829381583661,0.9238376693630981,wilson_overlap_product
pi/8,0.39269908169872414,16,wilson_overlap_product,-4.558786025952998,-4.442882938158366,0.11590308779463232,0.026087360258624254,2.0529821079709647,0.0,-4.329568801169576,0.11331413698879,0.22921722478342232,wilson_overlap_product
pi/8,0.39269908169872414,32,wilson_overlap_product,-4.471540126044222,-4.442882938158366,0.02865718788585614,0.006450133457204012,2.0159500511651856,0.0,-4.414390068527091,0.028492869631275397,0.057150057517131536,wilson_overlap_product
pi/8,0.39269908169872414,64,wilson_overlap_product,-4.450026768258774,-4.442882938158366,0.007143830100408088,0.0016079266998129148,2.004127370880315,0.0,-4.435749414370923,0.007133523787443252,0.01427735388785134,wilson_overlap_product
